Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_1_A50414_RD1_1_10360.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_2_A50418_RD5_1_10374.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_3_A50422_RD9_1_10382.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_4_A50426_RD13_1_10390.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NotTreated_5_A50430_RD17_1_10398.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_1_A50417_RD4_1_10372.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_2_A50421_RD8_1_10380.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_3_A50425_RD12_1_10388.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_4_A50429_RD16_1_10396.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_NTZB_5_A50433_RD20_1_10404.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_1_A50415_RD2_1_10368.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_2_A50419_RD6_1_10376.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_3_A50423_RD10_1_10384.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_4_A50427_RD14_1_10392.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_T_5_A50431_RD18_1_10400.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_1_A50416_RD3_1_10370.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_2_A50420_RD7_1_10378.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_3_A50424_RD11_1_10386.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_4_A50428_RD15_1_10394.d	Y:\DVPTBeTE230404_NecroProtTot_DIANN19\BeTE230404_NecroProtTot_TZB_5_A50432_RD19_1_10402.d
O75431	MTX2_HUMAN	MTX2		201628	231609	291965	231088	275120	131570	234958	274888	292258	299063	215443	198117	181947	138974	257622	270881	172589	365679	221818	242648
O75436	VP26A_HUMAN	VPS26A		382347	344774	340272	428688	402546	348884	315798	414836	282923	330603	335038	383969	369597	349237	324713	287696	276893	297789	278797	362048
O75438	NDUB1_HUMAN	NDUFB1		77613.1	74272.3	53879.8	85844.7	72158.3	111943	108674	71577.8	75956.8	87706.8	63200.5	78537.1	87982.5	105802	74323.4	88753.9	130110	141310	178450	138154
O75439	MPPB_HUMAN	PMPCB		205810	186718	216048	206053	207316	245463	220336	199071	243386	227132	191364	204889	228109	215279	195941	210252	230361	224451	267184	298058
O75446	SAP30_HUMAN	SAP30		57551.6	35627.8	57273.2	42253.1	42861.2	34337.7	36869.7	51046	56038.5	40991.3	41654.9	42752.4	64030.1	33905.6	47404.3	46575.8	54717.1	92803.7	38241.8	66482.6
O75448	MED24_HUMAN	MED24		23274.1	32906.4	32318.5	30915.3	29525.5	30381.6	32880.9	27631.3	32408.3	28714	28673.7	29942.5	31249.8	34292.6	32375.2	43894.1	40679	42878.2	41379.5	36069.9
O75449	KTNA1_HUMAN	KATNA1		56520.5	51901.6	64314.9	62647.5	60177.1	60650.1	60105.8	55636	66761.5	57949.4	59415.7	53632.1	67933.9	64186.3	61846.6	67726.4	54979.4	45367.4	43786.5	54040.4
O75460	ERN1_HUMAN	ERN1		13434.1	15919.4	13892.8	9622.25	12588.6	21844.5	22847.3	18795.1	24556.9	20626.6	12989.4	17273.7	10266.8	14979.7	12857.6	27838.6	17495.1	26327.6	26602.4	16526.7
O75461	E2F6_HUMAN	E2F6		10821.1	13085.1	10617.1	9939.09	8726.4	10420.7	6620.13	12250.7	9726.5	15078	12663.5	8621.07	8714.92	11445.3	7066	14239.3	18178.9	17530.7	13499.1	14128.5
O75467	Z324A_HUMAN	ZNF324		26612.9	24716	14747.4	19443.3	20210.3	17000.5	11750.4	20966.6	16449.8	17300.6	29263.5	32287.7	18632	13275.7	21676	21796.8	14903	23874.9	26774.6	23020.6
O75475	PSIP1_HUMAN	PSIP1		788106	821626	862612	975511	1.10741e+06	899401	877881	902468	941756	914614	763743	791171	1.01527e+06	759295	836459	960407	932073	879634	1.25406e+06	1.0885e+06
O75477	ERLN1_HUMAN	ERLIN1		252974	271795	291599	291416	303153	273180	242959	283666	278696	270671	281662	261597	285886	282282	306213	278341	306494	284970	392429	345067
O75478	TAD2A_HUMAN	TADA2A		18514.1	16286.1	10790.5	11087.2	12128.6	17924.6	10209.7	12461.3	14663.5	11714	10628.3	14384.3	13308.9	8315.91	12869.3	16276.2	15988.6	11820.2	16610.2	16537.7
O75486	SUPT3_HUMAN	SUPT3H		33226.9	44613.5	42936.9	33740.6	36019.3	41410.4	37615.6	33372.2	40818.5	30461.4	36331.7	39074.3	46616.3	33748.9	48130	50024.1	54669.6	48013.8	48034.4	53085
O75487	GPC4_HUMAN	GPC4		26365.9	30164.1	27964.8	25323.8	23565.1	23659.4	29476.7	24623.2	22066.2	25559.6	36219.8	32321.2	29459.9	28250.8	30971.1	27037.2	23425.6	20809.7	13429.1	18136.5
O75489	NDUS3_HUMAN	NDUFS3		349800	352123	404546	435152	440653	482444	468410	448521	442388	445530	356600	427466	464041	561092	367963	569274	518408	489239	611568	576188
O75494	SRS10_HUMAN	SRSF10		262050	276290	203360	213900	391229	242423	235266	551038	269072	281002	285883	255954	207278	125516	248040	351862	287990	348150	411333	242952
O75496	GEMI_HUMAN	GMNN		14847.2	17305.8	21635.2	14762.9	21850.6	10312.5	9949.07	17788.6	12354.8	12423.2	23644	13121.5	12401.9	7001.45	13415	14825.6	11082.3	7337.86		15995.9
O75503	CLN5_HUMAN	CLN5		44179	44303.6	45185.1	45143.6	55131	48641.5	42933	54002.6	48995.8	47660.2	40256.4	43826	33156.1	30762.7	38552.4	51584.4	44419.1	49216.6	47220.8	57565.4
O75521	ECI2_HUMAN	ECI2		22992.7	19006.1	17902.3	22305.1	19671.6	22439.4	15446.3	30298.7	15241.4	20565.7	16386.2	22286	21686.1	20123.6	17479.9	39500.5	36435	35252.4	26830.7	32109.9
O75528	TADA3_HUMAN	TADA3		43589.3	51944.8	58771.1	24535.1	29929.6	58353.4	55866.3	30791.6	27815.6	33224.3	57188.7	49092.1	38724.4	56063.6	33320.1	47537.9	45721.2	46972.5	63421.6	47253.2
O75529	TAF5L_HUMAN	TAF5L		62739.9	68309.9	66839.9	61225.7	63020.5	53030.2	61870.3	58115.5	65818.3	63445.7	62753.8	72502.8	58210.8	59659.6	61956.3	85441.7	74726.5	81280.9	53852.8	74428.8
O75530	EED_HUMAN	EED		128097	114273	119343	123037	119905	120447	118472	117896	117439	129033	120826	124616	119035	114652	113598	111106	135170	144442	142239	160745
O75531	BAF_HUMAN	BANF1		72691.2	51255	96736.9	88126.6	133863	76800.3	54837	176649	54634.4	34799.6	92057	101298	103447	65388.5	96450.6	64174.3	79562.9	147845	215372	173750
O75533	SF3B1_HUMAN	SF3B1		799618	759237	820251	771319	822337	742363	727869	764425	739466	691084	763636	813053	790512	705091	760852	592499	630540	718679	771355	835362
O75534	CSDE1_HUMAN	CSDE1		448787	460990	446781	463460	434541	487560	450085	437057	390390	441392	516861	470304	527485	390459	448888	419004	405603	366052	381988	391091
O75554	WBP4_HUMAN	WBP4		100199	139324	133221	108046	145775	127713	131941	121702	125839	135642	115965	134861	88930.1	124154	125395	96917.7	65861.4	71661.2	94074.7	78807.9
O75558	STX11_HUMAN	STX11		39290.8	42204.2	44930.5	43341.6	52317	41567.2	36990.6	58562.8	40296.4	48104.5	54748.7	55183.8	41946.1	40476.6	58264.3	34969.4	39209.3	44758.2	43847.7	52607.6
O75563	SKAP2_HUMAN	SKAP2		111726	90941.8	100204	118650	145727	84386.3	113049	121847	105666	127073	87547.2	107000	112775	87490.2	119467	85967.5	84921.5	93786	91693	103260
O75569	PRKRA_HUMAN	PRKRA		84996.4	84778.6	84759.3	76584.7	88040.9	68342.5	74767.5	99213.3	85963	90663.8	94171.6	78160.4	70625.1	68628.3	90791.4	60316.4	71204.6	65261.5	67847.3	62697.1
O75570	RF1M_HUMAN	MTRF1		15058.2	13004		20730.6	17338.1	21618.3	16272.4		12329.6	13751.3		18083.1	23593.3	16356.5		20442.6	10976.8	17072.5	17054.1	25678.5
O75582	KS6A5_HUMAN	RPS6KA5		23465.4	19914.1	22970.6	22086.2	23375.4	21731.2	22084.4	25140.8	21434.4	24252.4	15649.6	22608.5	20959	21479.4	25096.7	18252.8	15806.2	19637	28222.3	26260.4
O75586	MED6_HUMAN	MED6		15428.1	14209.3	17253.8	16321.4	19170.7	14198.8	24110.5	20893.2	28135.1	22933.8	19709.8	16675.5	23000.1		19937.6	17246	21698.6	27736.2	21804.4	22545.7
O75592	MYCB2_HUMAN	MYCBP2		91031	93910.6	96376.8	90572.8	91267.5	101998	94541.4	84819.8	91802.7	93893.7	95307.7	91425.9	100983	95957.1	97187.9	82656.5	87727	83946.4	84993.1	85757
O75600	KBL_HUMAN	GCAT		20430.1	26871.5	23376.9	29585.7	18773.2	41268.9	31042.8	23017.9	24810.4	27233.3	35080.9	18013.5	22796.1	22452.5	22805.2	41207	30193.8	36155.3	58603.2	36075.9
O75607	NPM3_HUMAN	NPM3		72319.4	64148.2	65526.6	67321.8	75655.5	70750.6	76291.5	73103.1	76991.4	71489.7	76413	57133.8	59211.1	78014.2	72866.2	54813.4	88550.4	81946.6	56907	67459.1
O75608	LYPA1_HUMAN	LYPLA1		475003	943522	1.0244e+06	989088	1.11926e+06	1.39021e+06	1.05907e+06	1.196e+06	1.06676e+06	1.03153e+06	1.00725e+06	765185	979715	1.06484e+06	1.24814e+06	1.09267e+06	1.01014e+06	1.16581e+06	871682	988247
O75616	ERAL1_HUMAN	ERAL1		83068.3	69242.9	74419.9	79892	100300	104658	87567.6	80416.7	74677.8	82000.2	64521.6	76362	88896.4	86528.6	67515.9	91550.4	90098.4	106054	112612	112151
O75629	CREG1_HUMAN	CREG1		39465.7	32541.8	39987.6	38055	34562	20993.7	46667	58647.6	46091.8	55346.8	52570.1		24045.4		36826	26642.9	54038.7	54910.9	45540.7	35100.7
O75643	U520_HUMAN	SNRNP200		755996	742303	776403	805493	832376	718518	756602	811391	744554	750123	769608	768969	772300	680108	792111	824910	890013	993782	901487	990438
O75648	MTU1_HUMAN	TRMU		23282.7	19251.8	20523.1	25708.1	20574.5	25768	25144.7	18320.3	20185.9	19510.8	18975.4	22756.2	24012.7	30443.7	20689.3	26152.9	29575.5	26872.6	28708.3	27938.6
O75663	TIPRL_HUMAN	TIPRL		884004	623139	496009	715350	865166	316139	257246	601732	399012	326469	688900	949571	761206	288371	639790	256609	206595	319677	237027	627206
O75665	OFD1_HUMAN	OFD1		29289.1	15974.1	9137.48	10560.2	11582.3	13633.1	10724.5	15677.5	16832	12498.2	20210.7	14246	10946	10243.6	13452.5	14737.6	12957.4	9817.24	13632.7	8748.35
O75674	TM1L1_HUMAN	TOM1L1		12606.5	14744.9	17609.1	9649.45	12441.1	11144.7	14201.6	9996.74	15340.1	11859.3	11720.2	10070.6	13899.7	16749	11095.6	13936.6	16532.1	14112.3	10775.7	9706.56
O75676	KS6A4_HUMAN	RPS6KA4		135626	131035	136164	125549	136765	146258	110663	125304	112738	116431	129773	125820	98153.3	123632	122686	112003	145847	196649	154031	130857
O75683	SURF6_HUMAN	SURF6		42535.5	44842.2	33480	40536.1	37948.2	43332	41119.8	31854.7	49213.7	41367.1	53191.4	38302.8	42203.8	42359.9	34143.8	46385.2	52356.8	48084.7	42431.7	48192.9
O75688	PPM1B_HUMAN	PPM1B		88412.3	86935.7	91982.3	97115.4	95202.2	75817	77061.7	91383.7	86698.4	90673.9	81455	85367.4	89108.8	69582.9	86423.6	54563.5	58408.3	58485.3	62971.4	76628.2
O75689	ADAP1_HUMAN	ADAP1		82495.7	107832	98196.1	85579.8	102197	69922	90774.9	81847	107593	101339	88854.9	90638	84607.2	60222.1	91351.4	66082.8	71424.3	73343.4	84529.6	67549.6
O75691	UTP20_HUMAN	UTP20		87593.9	82581.1	66677.3	56846.2	62141	93203.7	100710	65300.4	58428.5	99541.8	89223.7	78197.8	70946.6	79137.7	61338.8	86695.7	124552	96929.1	117342	100551
O75694	NU155_HUMAN	NUP155		316175	298688	308358	279159	293619	288668	290008	315546	293952	285865	335493	297774	256758	257408	312087	350772	415199	524650	480692	462051
O75695	XRP2_HUMAN	RP2		205443	234402	227555	205637	217264	248993	243140	176858	241800	249580	226262	210916	220995	240973	240565	280132	321941	262902	209622	210405
O75716	STK16_HUMAN	STK16		32491.2	37323.8	38580.8	33864.3	34044.8	27565.3	37331.8	33018.8	39837.8	31399.7	40957	33203.8	32244	27112.7	36480.1	40729.5	38730	39540.5	20329.3	30679.2
O75717	WDHD1_HUMAN	WDHD1		95739.9	87836.3	79481.3	74604	92294.4	100949	68238.3	72670.7	85230.1	77285.3	75441.6	92321.7	72464	81365.6	66561.6	94880.7	75290.8	81950.8	73611	53077.1
O75718	CRTAP_HUMAN	CRTAP		602326	690148	666602	424694	478709	695585	635900	513531	790822	614468	557908	442691	565061	498962	613642	928053	644375	454792	970179	517289
O75746	S2512_HUMAN	SLC25A12		127026	112829	108196	113988	106125	106548	112480	106986	109351	107729	111381	109903	114929	112546	104646	156646	161258	182041	161144	154582
O75752	B3GL1_HUMAN	B3GALNT1		12863.1	19931.7	15472.9	14579.6	17091.5	14064.5	15189.6	12628.1	14278.4	14952	12591.1	9642.96	13690.6	21596.8	17477.1	21392	23077.1	20184.2	19266.7	15851.8
O75771	RA51D_HUMAN	RAD51D		18460	21779.4	19355.6	18243.7	22428.6	17544.2	15809.8	17311.3	17608.6	12509.6	17993.3	18243	17050.8	16419.7	24668.3	6240.29	18797.3	26499.7	16937.8	22170.5
O75781	PALM_HUMAN	PALM		7907.79	12379.4	12449.6	12093.9	9394.23	8868.66	13621.7	11429.1	11858.5	11770.1	8902.47	10289.3	14383.6	6947.58	11564.3	8126.58	10261.1	14360.7	10766.7	10396.6
O75787	RENR_HUMAN	ATP6AP2		85098.5	108827	107046	91639.4	104933	94876.9	91014.5	80690.7	90950.5	86924.7	118838	115889	114537	87191.7	108178	129668	130079	129378	163927	130070
O75792	RNH2A_HUMAN	RNASEH2A		412026	383620	359794	409557	382539	479080	390776	442099	368338	414531	422545	377921	430770	449760	357068	334860	322556	295776	301233	310148
O75794	CD123_HUMAN	CDC123		68832.3	48379.9	50294.2	50933.7	54511.2	38281	42319.3	51058.5	52788.8	45839.6	56086.2	55514.2	46204.5	42837.2	49779	40948.9	34716.4	36160.1	44270.8	53472.7
O75808	CAN15_HUMAN	CAPN15		35318.3	37448.2	24921.9	27920.5	23652.8	29880.4	27356.1	27139.4	39638.5	26897.9	35658.7	30694.6	24419.9	24609.6	27590.8	23660.2	30273	21604.1	20139.1	25824.4
O75817	POP7_HUMAN	POP7		85979.9	51075.5	60093.2	104023	79164.8	68098.3	58560	83087.8	57315.9	61371	53029	80090.1	112762	66500.3	57022.8	51171.6	56394.3	62612.6	61453.7	97503.6
O75818	RPP40_HUMAN	RPP40		66103.5	54181.2	54887.7	61622.5	57373.3	50155.4	52357	67486.7	42071.3	41890.4	48491.5	62317.9	54953.5	49442.8	55467.6	52642.5	51522.7	66604.3	54086.1	69690
O75820	ZN189_HUMAN	ZNF189		47877.7	45826.5	43275.8	40243.3	44492.5	38968.5	40248.9	43657.4	39699.7	37998.9	46038.1	46267.3	44305.8	38954.1	48596	48563.1	49331.3	62355.5	58979.6	53360.9
O75821	EIF3G_HUMAN	EIF3G		644662	730592	787285	681612	839855	562956	505304	715241	543790	479378	741915	588518	633232	510154	674487	287555	350895	380721	370938	482242
O75822	EIF3J_HUMAN	EIF3J		271506	242692	305675	378379	336502	312892	245653	347449	187751	245015	243568	333112	411230	282429	255490	213062	215763	176306	188516	310552
O75828	CBR3_HUMAN	CBR3		15520.5	14540.2	19376.9	13975.5	17029.6	16436.5	18590.8	15321.7	19540.8	18922.1	13542.2	16048.2	15471.6	19277.9	17666.4	9353.21	11294.7	9257.11	8860.92	11756.7
O75832	PSD10_HUMAN	PSMD10		87130.8	84378.5	122585	147316	191590	128564	128124	256310	175871	127717	109414	115814	153247	57813.6	124792	175589	155831	127597	119629	156204
O75843	AP1G2_HUMAN	AP1G2		68909.9	76532	74381.2	68452.9	72775.5	67278	71438.2	72478.6	71591.2	70674.1	67654.4	74032.2	64138.7	76645.8	68815.4	60482.2	61894.2	68700.4	53732.1	57503.2
O75844	FACE1_HUMAN	ZMPSTE24		2.3345e+06	2.97131e+06	3.11933e+06	2.33832e+06	2.29505e+06	2.7264e+06	3.10622e+06	2.46168e+06	3.26969e+06	3.16867e+06	3.06875e+06	2.05644e+06	2.49979e+06	3.03573e+06	3.01321e+06	3.35006e+06	4.07616e+06	4.29644e+06	4.17606e+06	3.12058e+06
O75845	SC5D_HUMAN	SC5D		9572.46	14678	9529.05	7438.43		21845.6	23462.6	5829.8	17744.2	21705.3	17687.7		9591.67	18086.5	12144.9	28920	26695.9	24142.1	35470.1	13946.6
O75864	PPR37_HUMAN	PPP1R37		8226.63	7542.66	13016.2	5964.05	7819.11	9434.24	12277.7	10522.5	9424.46	5235.29	7400.51	5400.88	11302.5		8280.63		6678.5	7938.03		8262.01
O75874	IDHC_HUMAN	IDH1		1.29152e+06	1.34333e+06	1.28998e+06	1.64118e+06	1.4702e+06	1.46049e+06	1.41385e+06	1.47711e+06	1.28249e+06	1.30265e+06	1.02013e+06	1.46034e+06	1.50434e+06	1.26993e+06	1.24936e+06	984422	952984	1.10338e+06	924036	1.4666e+06
O75879	GATB_HUMAN	GATB		76706	62215.8	66461.5	83017.3	65912.1	76724.1	75244.4	73429	66737.4	65820.9	73314.9	77697.5	84898	64651.2	63118.1	66249.5	79723.7	70832.7	87694.4	93003.4
O75880	SCO1_HUMAN	SCO1		34396.3	39290.9	46541.9	38277.6	47173.8	57078.1	53378.8	48603.3	49249.4	76312.2	44877.5	35998.6	41930.4	126676	50916.9	124402	80391.5	74869.7	66496.9	66059.5
O75881	CP7B1_HUMAN	CYP7B1		16969.9	16495	19030	15992	17829.5	14786.5	17376.3	16474.9	20077.6	17203	17883.7	23084.7	23487.8	19442.9	18735.2	22722.5	16981.8	22108.3	24780.4	25016.5
O75882	ATRN_HUMAN	ATRN		37883.4	35055.2	35614.1	40846.2	44776.1	50516.7	41390.5	38145.8	42860.5	40761.7	42385.8	42581	37609.2	33973.3	38572.1	60393.9	53683.6	54333.3	44546.8	45346.1
O75884	RBBP9_HUMAN	RBBP9		20450.6	12289.2	14354.1	18745.8	18128.9	6563.85	9256.41	19636			9242.57	19626.5	17853.8	5668.42	10288.1					12764.8
O75886	STAM2_HUMAN	STAM2		112606	92735.9	103617	118091	107790	103392	121309	111108	117499	126622	86915.3	110435	107682	100502	93694.5	99874.2	88174.2	74486.6	68250.7	84611.5
O75891	AL1L1_HUMAN	ALDH1L1		36019	65115.3	77442	60788		67958.9	56760.6		82711.5	66042.1	52578.7	54864.4	59695	87877.4	59200.1	100575	112909	160411	135688	50614.5
O75896	TUSC2_HUMAN	TUSC2		22567	32742.3	34841.8	21174.6	20686.9	31782.7	31138.2	22838	25521.7	27382	36215.5	18593.6	17306.7	20400.2	25332.3	18070.8	32033.7	20120	22450.8	17699.8
O75907	DGAT1_HUMAN	DGAT1		45701.5	63060.4	55140.5	52875.8	64937	31245.2	34838.5	67827.4	51607.9	39451.3	72066.6	56281.4	25420.5	28959.7	71384.4	38572.9	50220	95255.2	52294.5	74504.2
O75909	CCNK_HUMAN	CCNK		105361	113915	136529	129552	152905	118512	127095	139453	142929	128693	105383	121545	133150	153786	118985	109358	106397	87487.8	78853.6	133016
O75915	PRAF3_HUMAN	ARL6IP5		384863	278265	246218	385030	297820	355778	368441	273154	351904	341440	355493	460701	416671	261122	223306	405965	506687	529694	411545	508383
O75925	PIAS1_HUMAN	PIAS1		125113	111615	130139	140201	105445	126730	112507	106656	119899	125349	126235	148966	147666	122274	128975	99048.1	140858	144134	141813	131406
O75928	PIAS2_HUMAN	PIAS2		14617.4	11034.6	13010.6	8800.85	11043.4		11751.2	11802.1	11668.7	11468	12769.2	10083.1	9674.45		10512.2		8727.31	15056.3	10168.7	11993.9
O75934	SPF27_HUMAN	BCAS2		66482.9	46687.3	78714.7	77270.8	71800.2	80243.8	73269.1	123680	87580.1	86667.3	59965.5	74604.9	112722	71319.9	103201	74880	84449.6	117952	105537	109246
O75935	DCTN3_HUMAN	DCTN3		46752.1	24592.7	42637.7	61507.9	59697.4	83658.9	61180.5	64431.6	52062.8	64750.6	32730.2	67489.3	80829.9	66754.2	57582.7	54035.1	54984.7	61810.3	42509.7	87602.7
O75937	DNJC8_HUMAN	DNAJC8		336248	433568	398791	405125	426992	498318	475830	333753	490115	428880	459395	354630	370116	354513	394946	446992	435011	345723	367275	321663
O75940	SPF30_HUMAN	SMNDC1		82207.1	40743	48058.5	79282.5	67200.9	140448	69595.7	66917.8	62503.5	62652.3	26765	63653.8	93721.9	152395	75301.2	62337.2	58648.5	52328.5	87936.1	89923.3
O75943	RAD17_HUMAN	RAD17		56491	51414.1	46377.1	55443.2	54157.5	44823	43188.7	58855	41956	45365.6	44899	52335.7	49474.8	34612.7	45530.5	56121.7	53759.9	64351.7	67913.2	75077.6
O75947	ATP5H_HUMAN	ATP5PD		637742	557528	788775	584978	787519	1.18533e+06	901220	1.10273e+06	1.06967e+06	1.25113e+06	744802	673454	823042	1.18005e+06	855792	1.41801e+06	1.25542e+06	1.11762e+06	1.80405e+06	1.60427e+06
O75955	FLOT1_HUMAN	FLOT1		70435.8	77356.4	76108.5	76185	77236.6	78489.7	76612.8	65206	82297	76810.6	84647.8	85274.9	81006.7	81659.6	79562.1	64384.8	83469.1	75997.9	93463.2	88252.6
O75962	TRIO_HUMAN	TRIO																	41694.6			39246.8	22437
O75964	ATP5L_HUMAN	ATP5MG		598607	602598	768878	867216	771779	1.01987e+06	834511	639986	756686	764850	809411	756346	768024	948750	793371	935888	764830	1.02504e+06	1.14778e+06	988578
O75976	CBPD_HUMAN	CPD		65019.3	52822.4	58991.8	56843	58446.9	44192.8	35124.2	39917	35298.5	40503.4	61682.8	52849.3	52861	60282.7	53755.4	44891.1	39657.5	42814.8	42756.8	42197.1
O75995	SASH3_HUMAN	SASH3		90469.8	142682	146360	129885	173288	83482.7	105386	159081	113381	108928	104908	120153	115384	90166.6	159514	55522.2	80240.8	78694.8	91762.2	75739.8
O76003	GLRX3_HUMAN	GLRX3		233354	194450	180222	274305	226224	200433	183669	249759	190722	181987	179438	250714	243323	166586	174954	142644	109677	125269	146446	170532
O76013	KRT36_HUMAN	KRT36										12819.7		31508.2	28211.2				246463				
O76021	RL1D1_HUMAN	RSL1D1		481278	452016	467854	439227	468757	464918	442495	440012	439836	425120	485439	485425	455995	484655	448225	534457	707181	773577	638343	661982
O76031	CLPX_HUMAN	CLPX		105513	115579	120179	119053	118977	148934	110589	102214	111277	112315	127730	99981.2	119580	157393	119889	150954	124709	109997	146651	137167
O76039	CDKL5_HUMAN	CDKL5		19177.2		9387.5	47968.7							8795.22	49117.8	41952.9	4054.54						25212.3
O76062	ERG24_HUMAN	TM7SF2		75470.2	88587.4	90276	93733.3	88743.4	73309.3	94041.3	89097.1	96290.2	92681.8	74246	82857.7	68307.6	76086.7	96558.7	95427	126094	152148	93539.7	126060
O76071	CIAO1_HUMAN	CIAO1		520117	411868	462097	442697	438099	557477	493435	452442	421465	483740	406085	402800	483722	448526	469943	443949	450354	454960	335794	384964
O76075	DFFB_HUMAN	DFFB		40711.9	41079.4	39737.3	50647.4	48235.8	38932.5	44539.3	55520.1	38140.1	34977.9	43143.5	61056.7	47566.9		53374.7	37118.7	32275.3	31747.8		31013.6
O76080	ZFAN5_HUMAN	ZFAND5		17233.8	12708.8	12662.5	16067.7	19306.4	43872.6	28603.4	25764.6	17298	33194.6	12430.9	17453.7	14413.6	22609.5	11177.9	25843.4	20763.9	17848.6	17334.8	28229.1
O76094	SRP72_HUMAN	SRP72		594144	536863	529898	581995	554345	594187	558262	544683	554829	557345	491007	566658	569687	531791	483692	382992	457206	442445	420401	479095
O76095	JTB_HUMAN	JTB		26211.5	26717.9	69723.5	67924.8	66958.7	53979.3	61618.1	34704.1	67874.4	73976.7	43929	55285.7	64095.3	76303.2	67299.1	55834.1	47042.6	28006.9	27592.9	82316.3
O77932	DXO_HUMAN	DXO		11773.9	23305.5	18766.5	17675.3	16897.6	19194.8	22375.4	18158.4	22107.5	22715.9	19094.8	18267.5	21845.5	16841.8	16643	19593.5	16226.5	20155.5	8419.41	9919.38
O82514;Q9FK35	KAD3_ARATH;KAD4_ARATH	ADK1;ADK2		202983	66032.1	79776.8	95923.1	85593.7	105341	104199	169244	104248	85591.3	95402.5	80509.7	106504	56575.1	79809	181795	143059	122642	174949	128930
O94759	TRPM2_HUMAN	TRPM2		18899	21966.1	18504.5	22305.3	20697.5	14464.3	16119.2	20824.2	17798.1	15014.8	21142	19259	16401.5	7048.14	21337.4	18271	22492.4	27721.7	18706.4	25434.9
O94760	DDAH1_HUMAN	DDAH1		84289.9	85661.7	90111.8	80071.7	88872.6	85706.2	78602.9	88398.9	76462.9	78523.2	61405.9	74542.1	79392.6	72818.2	73166.4	66406.2	57586.4	52326.5	48660.7	77340.4
O94761	RECQ4_HUMAN	RECQL4		71126.9	65612.8	70495.2	66864.4	63606.5	72913.5	71966.6	66573.1	66982.3	72213.1	66800.3	75056.1	61840.5	60150.7	66036.5	68124.4	73658.2	73282.8	60192.6	57662.2
O94762	RECQ5_HUMAN	RECQL5		17441.4	22636.1	20544.4	12285.5	15608.5	21766.1	26658.8	15182.8	16853.5	17146.7	17512.8	22400.9	30313.2	38767	14119.2	26435.4	21968.7	25816.2	19897	27821.3
O94763	RMP_HUMAN	URI1		48956.9	58749.7	57632.5	39244.2	47486.3	55309.5	41632.4	58958.2	58336.5	45281.5	63987	39640.4	57466.9	42299.9	50679.8	39066.1	38256.6	19515.9	34668.4	34892.6
O94766	B3GA3_HUMAN	B3GAT3		146008	165044	154853	163578	158392	185982	183550	156333	179749	195859	148252	180102	157123	184058	170080	242607	240841	221054	202053	202680
O94768	ST17B_HUMAN	STK17B		37544.7	37004.2	34775	31285	38727.3	32932.7	26836	39610.8	26185.1	35128.5	34876.9	39256.9	28731.8	28063.3	27780	31788.3	30300.1	34928.6	36567	40316.5
O94776	MTA2_HUMAN	MTA2		401651	400154	418590	444644	433484	436630	410414	422235	399980	438886	405181	435564	446917	434256	394362	401728	394029	384014	506549	469478
O94782	UBP1_HUMAN	USP1		43218.6	33182.6	37521	25818.9	30183.8	36308.8	32077.5	29108.2	25871.6	20713.6	37122.5	29164.7	30650.5	23459.5	28867.5	41649.8	23061.3	16740	29525.5	25394.4
O94804	STK10_HUMAN	STK10		416134	554328	547935	445238	479754	423286	498445	440469	528216	492416	500213	487608	465739	430912	501532	398497	442735	395725	374242	368277
